"COD_DANE12","X","Y","ORDEN_DE_S","EMAIL","WEB","Fecha","COLEGIO_SE","P_Puntaje_2021","EVALUADOS","P_Lectura","P_Matemati","P_Sociales","P_Ciencias","P_Ingles","Sector","CALENDARIO","GENERO","COD_LOCA","NATU_JUR","CLASE_TIPO","Ciencias_N","Ciencias_1","Ciencias_2","Ciencias_3","Ingles_A","Ingles_A1","Ingles_A2","Ingles_B1","Ingles_B","Lectura_1","Lectura_2","Lectura_3","Lectura_4","Matematica","Matemati_1","Matemati_2","Matemati_3","SocialC_1","SocialC_2","SocialC_3","SocialC_4","PCiencias_","PCiencias1","PCiencia_1","PCiencia_2","PIngles_A1","PIngles_A2","PIngles_B1","PIngles_A","PIngles_B","PLectura_1","PLectura_2","PLectura_3","PLectura_4","PMatematic","PMatemat_1","PMatemat_2","PMatemat_3","PSocialC_1","PSocialC_2","PSocialC_3","PSocialC_4","Categoria","Thombre","Tmujer","ESTRATO","Thombre_aprob","Tmujer_aprob","Thombre_des","Tmujer_des","DENSITY","P_Puntaje_2019","P_Puntaje_2020","P_Puntaje_2022"
111001009521,-74.1013125897126,4.67900610609065,"A","escdirobertkennedy10@educacionbogota.edu.co","www.robertfkennedy.edu.co","2021/12/31","COLEGIO ROBERT F. KENNEDY (IED)",255.3944145,157,55,50,50,50,52,2,1,5,10,9,1,27,82,47,2,60,39,39,14,5,3,47,89,17,16,68,72,2,28,77,52,0,0.171974522,0.522292994,0.299363057,0.012738854,0.248407643,0.248407643,0.089171975,0.382165605,0.031847134,0.01910828,0.299363057,0.566878981,0.108280255,0.101910828,0.433121019,0.458598726,0.012738854,0.178343949,0.49044586,0.331210191,0,2,1.38,1.03,3,85.69,90.75,1.54,0.83,211.322992578,270.4738016,263.5015385,261.7521368
111001009652,-74.1313178203887,4.57861357731774,"A","coldijosemariacord6@educacionbogota.edu.co","www.colegio.redp.edu.cocentrojosemariac","2021/12/31","COLEGIO CENTRO INTEGRAL JOSE MARIA CORDOBA (IED)",252.8205128,228,54,51,49,49,51,2,1,5,6,9,1,42,149,45,0,87,83,50,14,0,5,83,116,33,19,90,125,2,59,111,61,2,0.177966102,0.631355932,0.190677966,0,0.351694915,0.211864407,0.059322034,0.368644068,0,0.021186441,0.351694915,0.491525424,0.139830508,0.080508475,0.381355932,0.529661017,0.008474576,0.25,0.470338983,0.258474576,0.008474576,3,1.39,1.33,3,86.13,88.07,1.35,1.34,219.024920058,256.4019314,265.0535783,261.6666667
111001009831,-74.0678435199796,4.6146441357446,"A","lnalpolicarpasalav3@educacionbogota.edu.co","","2021/12/31","COLEGIO POLICARPA SALAVARRIETA (IED)",239.6153846,81,52,47,46,47,47,2,1,5,3,9,1,16,60,8,0,44,30,7,2,0,1,34,42,6,9,42,32,0,23,45,14,0,0.192771084,0.722891566,0.096385542,0,0.361445783,0.084337349,0.024096386,0.530120482,0,0.012048193,0.409638554,0.506024096,0.072289157,0.108433735,0.506024096,0.385542169,0,0.277108434,0.542168675,0.168674699,0,3,1.36,1.05,7,77.16,78.83,2.11,1.79,40.214988777,258.4615385,250.7692308,261.5384615
111001009971,-74.0915880896068,4.67737455622498,"A","coldirepdecolombia10@educacionbogota.edu.co","www.iedcolegiorepublicadecolombia.edu.co","2021/12/31","COLEGIO REPUBLICA DE COLOMBIA (IED)",263.8461538,132,56,53,51,51,53,2,1,5,10,9,1,15,77,45,0,41,51,31,12,1,0,42,70,23,8,47,78,3,20,68,45,3,0.111111111,0.57037037,0.333333333,0,0.377777778,0.22962963,0.088888889,0.303703704,0.007407407,0,0.311111111,0.518518519,0.17037037,0.059259259,0.348148148,0.577777778,0.022222222,0.148148148,0.503703704,0.333333333,0.022222222,2,1.38,1.03,3,89.28,91.71,1.66,1.21,234.204297324,266.9230769,262.6923077,261.5384615
111001010031,-74.1874322703874,4.59962549190067,"A","cedidsanpablobosa7@educacionbogota.edu.co; cedidsanpablobosa7@gmail.com","","2021/12/31","COLEGIO CEDID SAN PABLO (IED)",250.475927,278,53,51,47,50,51,2,1,5,7,9,1,51,163,65,3,110,104,51,14,3,6,110,141,25,20,118,135,8,87,135,56,3,0.181494662,0.580071174,0.231316726,0.010676157,0.370106762,0.181494662,0.049822064,0.391459075,0.010676157,0.021352313,0.391459075,0.501779359,0.088967972,0.071174377,0.419928826,0.480427046,0.028469751,0.309608541,0.480427046,0.199288256,0.010676157,3,1.34,1.06,2,87.89,89.97,0.63,0.58,309.569740428,258.8930187,255.2733224,251.6215385
111001010251,-74.1435775198382,4.59203226067759,"A","coldivenecia6@educacionbogota.edu.co","","2021/12/31","COLEGIO VENECIA (IED)",259.4387755,196,55,52,50,51,52,2,1,5,6,9,1,24,126,50,0,64,84,44,8,0,4,62,114,22,6,86,106,2,36,102,60,2,0.12,0.63,0.25,0,0.42,0.22,0.04,0.32,0,0.02,0.31,0.57,0.11,0.03,0.43,0.53,0.01,0.18,0.51,0.3,0.01,3,1.39,1.33,3,86.13,88.07,1.35,1.34,219.024920058,257.0183321,254.3696138,260.9022738
111001010731,-74.0664227499162,4.64445350835612,"A","idmanuelabeltran13@educacionbogota.edu.co","www.colegiotecnicomanuelabeltran.edu.co","2021/12/31","COLEGIO MANUELA BELTRAN (IED)",262.3076923,91,55,53,51,51,52,2,1,5,13,9,1,10,56,24,1,31,35,17,6,2,3,27,49,12,3,31,56,1,17,39,33,2,0.10989011,0.615384615,0.263736264,0.010989011,0.384615385,0.186813187,0.065934066,0.340659341,0.021978022,0.032967033,0.296703297,0.538461538,0.131868132,0.032967033,0.340659341,0.615384615,0.010989011,0.186813187,0.428571429,0.362637363,0.021978022,2,0.52,0.47,3,97.02,96.37,0.32,0.34,144.564855749,261.9230769,256.1538462,262.6923077
111001010740,-74.0954012295787,4.6688970511245,"A","intdifranciscojose10@educacionbogota.edu.co","www.colegios.redp.edu.co/franciscojosedecaldas  --  www.itifjdecaldas.edu.co","2021/12/31","COLEGIO INSTITUTO TECNICO INDUSTRIAL FRANCISCO JOSE DE CALDAS (IED)",278.4615385,262,58,57,52,55,58,2,1,5,10,9,1,11,125,120,8,37,96,85,40,8,3,61,150,56,3,56,190,19,43,115,101,8,0.041198502,0.468164794,0.449438202,0.029962547,0.359550562,0.31835206,0.149812734,0.138576779,0.029962547,0.011235955,0.228464419,0.561797753,0.209737828,0.011235955,0.209737828,0.711610487,0.071161049,0.161048689,0.43071161,0.378277154,0.029962547,2,1.38,1.03,7,89.28,91.71,1.66,1.21,234.204297324,278.8461538,274.6153846,279.2307692
111001010928,-74.1207904599809,4.57931796543935,"A","colnarestrepomilla18@eduacionbogota.edu.co","","2021/12/31","COLEGIO RESTREPO MILLAN (IED)",255.3846154,135,54,52,49,49,52,2,1,5,18,9,1,14,97,28,1,46,56,29,7,1,1,46,78,15,6,56,75,1,28,76,31,4,0.100719424,0.697841727,0.201438849,0.007194245,0.402877698,0.208633094,0.050359712,0.330935252,0.007194245,0.007194245,0.330935252,0.561151079,0.107913669,0.043165468,0.402877698,0.539568345,0.007194245,0.201438849,0.54676259,0.223021583,0.028776978,3,1.55,1.21,3,85.55,88.15,2.43,1.92,226.849943649,256.9230769,271.5384615,260.7692308
111001011011,-74.1379697202018,4.58547365708989,"A","itindpiloto6@educacionbogota.edu.co","www.tecnicopiloto.edu.co","2021/12/31","COLEGIO INSTITUTO TECNICO INDUSTRIAL PILOTO (IED)",263.6040609,197,56,54,51,51,52,2,1,5,6,9,1,18,123,58,2,56,82,48,14,0,2,58,115,26,8,60,127,6,34,101,62,4,0.089552239,0.611940299,0.288557214,0.009950249,0.407960199,0.23880597,0.069651741,0.278606965,0,0.009950249,0.288557214,0.572139303,0.129353234,0.039800995,0.298507463,0.631840796,0.029850746,0.169154229,0.502487562,0.308457711,0.019900498,2,1.39,1.33,2,86.13,88.07,1.35,1.34,219.024920058,273.2374582,263.3047835,279.6316033
111001011045,-74.1123891100166,4.62990760726825,"A","iedsilveria@educacionbogota.edu.co","www.colegio.redp.edu.co/silveriaespinoza","2021/12/31","COLEGIO SILVERIA ESPINOSA DE RENDON (IED)",264.2307692,106,56,53,51,51,54,2,1,5,16,9,1,7,70,33,0,28,46,32,3,1,1,30,68,10,6,36,66,2,13,58,39,0,0.063636364,0.636363636,0.3,0,0.418181818,0.290909091,0.027272727,0.254545455,0.009090909,0.009090909,0.272727273,0.618181818,0.090909091,0.054545455,0.327272727,0.6,0.018181818,0.118181818,0.527272727,0.354545455,0,3,1.74,1.21,7,89.81,90.32,2.02,1.27,41.122473517,263.5470085,266.1538462,273.8461538
111001011053,-74.1010924099415,4.58714169677687,"A","coldiguillermoleon15@educacionbogota.edu.co","","2021/12/31","COLEGIO GUILLERMO LEON VALENCIA (IED)",254.159919,114,54,51,49,49,51,2,1,5,15,9,1,26,56,35,0,45,39,19,13,0,3,44,46,22,10,42,61,3,28,49,38,1,0.224137931,0.482758621,0.301724138,0,0.336206897,0.163793103,0.112068966,0.387931034,0,0.025862069,0.379310345,0.396551724,0.189655172,0.086206897,0.362068966,0.525862069,0.025862069,0.24137931,0.422413793,0.327586207,0.00862069,3,1.93,1.82,3,89.95,91.17,2.27,2.12,217.137387873,260.3214696,255.2157598,255.7692308
111001011070,-74.1049280095922,4.7082986953351,"A","cedmiguelantonioc10@educacionbogota.edu.co","http://colegio.redp.edu.co/miguelantoniocar","2021/12/31","COLEGIO MIGUEL ANTONIO CARO (IED)",254.6153846,63,55,51,48,49,51,2,1,5,10,9,1,7,46,12,0,25,21,16,4,0,0,23,35,7,1,30,34,0,16,32,18,0,0.107692308,0.707692308,0.184615385,0,0.323076923,0.246153846,0.061538462,0.384615385,0,0,0.353846154,0.538461538,0.107692308,0.015384615,0.461538462,0.523076923,0,0.246153846,0.492307692,0.276923077,0,3,1.38,1.03,3,82.38,87.15,1.55,1.06,395.72206025,273.3198381,258.2179487,258.5096154
111001011088,-74.0769091902662,4.67337731443916,"A","coldirepdepanama12@educacionbogota.edu.co","","2021/12/31","COLEGIO REPUBLICA DE PANAMA (IED)",256.5384615,26,53,52,50,50,52,2,1,5,12,9,1,1,19,6,0,9,11,5,1,0,0,9,16,1,0,12,14,0,2,18,6,0,0.038461538,0.730769231,0.230769231,0,0.423076923,0.192307692,0.038461538,0.346153846,0,0,0.346153846,0.615384615,0.038461538,0,0.461538462,0.538461538,0,0.076923077,0.692307692,0.230769231,0,3,1.77,1.98,3,84.04,87.83,1.53,1.41,293.179189433,260.3846154,259.6153846,256.9230769
111001011274,-74.1303122803957,4.59935495436666,"A","colnaandresbello16@educacionbogota.edu.co","www.colegio.redp.edu.co/eljazmin","2021/12/31","COLEGIO ANDRES BELLO (IED)",263.0769231,149,56,53,50,51,54,2,1,5,16,9,1,17,90,47,2,40,59,39,17,2,3,36,93,23,5,56,91,5,25,81,48,2,0.109677419,0.580645161,0.303225806,0.012903226,0.380645161,0.251612903,0.109677419,0.258064516,0.012903226,0.019354839,0.232258065,0.6,0.148387097,0.032258065,0.361290323,0.587096774,0.032258065,0.161290323,0.522580645,0.309677419,0.012903226,2,1.74,1.21,3,88.22,90.96,1.52,1.14,225.660695821,266.1538462,261.9230769,270.3846154
111001011690,-74.1482280702164,4.62337396025948,"A","coldilaamistad8@educacionbogota.edu.co","","2021/12/31","COLEGIO LA AMISTAD (IED)",238.5056747,122,51,48,46,47,46,2,1,5,8,9,1,25,75,22,1,65,43,9,5,0,6,53,62,2,10,70,42,1,42,55,25,0,0.203252033,0.609756098,0.178861789,0.008130081,0.349593496,0.073170732,0.040650407,0.528455285,0,0.048780488,0.430894309,0.504065041,0.016260163,0.081300813,0.569105691,0.341463415,0.008130081,0.341463415,0.447154472,0.203252033,0,3,1.47,1.06,3,80.82,83.88,1.97,1.42,285.522465006,248.1034483,242.2099087,240.6637717
111001011771,-74.0985476201839,4.71273637261831,"A","coldijoseasuncions10@educacionbogota.edu.co","","2021/12/31","COLEGIO JOSE ASUNCION SILVA (IED)",266.5384615,54,57,53,51,52,54,2,1,5,10,9,1,5,32,18,0,15,22,15,5,0,0,13,29,13,1,22,33,0,11,27,16,3,0.089285714,0.571428571,0.321428571,0,0.392857143,0.267857143,0.089285714,0.267857143,0,0,0.232142857,0.517857143,0.232142857,0.017857143,0.392857143,0.589285714,0,0.196428571,0.482142857,0.285714286,0.053571429,2,1.38,1.03,3,82.38,87.15,1.55,1.06,395.72206025,253.0769231,267.3076923,273.8461538
111001011819,-74.1038365601153,4.58080600715335,"A","lfemeninocund@educacionbogota.edu.co liceofemeninomn@gmail.com","www.lifemena.jomdo.com","2021/12/31","COLEGIO LICEO FEMENINO MERCEDES NARIÑO (IED)",266.7785971,386,57,53,52,51,55,2,1,1,18,9,1,35,228,116,8,89,159,89,46,4,4,77,232,74,12,128,236,8,50,186,139,12,0.090439276,0.589147287,0.299741602,0.020671835,0.410852713,0.22997416,0.118863049,0.22997416,0.010335917,0.010335917,0.198966408,0.599483204,0.19121447,0.031007752,0.330749354,0.609819121,0.020671835,0.129198966,0.480620155,0.359173127,0.031007752,2,1.55,1.21,3,86.88,91.34,1.16,0.9,235.877289564,268.428382,267.691071,264.4411058
111001011908,-74.0969757597778,4.58520388068526,"A","escnormalmariamont15@educacionbogota.edu.co","www.normalsuperiormontessori.edu.co","2021/12/31","COLEGIO ESCUELA NORMAL SUPERIOR DISTRITAL MARIA MONTESSORI (IED)",285,162,60,58,55,55,57,2,1,5,15,9,1,3,85,72,2,23,64,54,21,2,0,23,103,38,2,20,136,7,7,79,75,3,0.018292683,0.518292683,0.43902439,0.012195122,0.390243902,0.329268293,0.12804878,0.140243902,0.012195122,0,0.140243902,0.62804878,0.231707317,0.012195122,0.12195122,0.829268293,0.042682927,0.042682927,0.481707317,0.457317073,0.018292683,2,1.93,1.82,3,89.95,91.17,2.27,2.12,217.137387873,288.8461538,283.0769231,291.1538462
111001012033,-74.093941370224,4.57116406583339,"A","cedveintedejulio4@educacionbogota.edu.co","","2021/12/31","COLEGIO VEINTE DE JULIO (IED)",256.5384615,59,56,51,49,49,52,2,1,5,4,9,1,9,37,13,0,22,18,15,3,1,0,18,33,8,2,22,35,0,15,28,16,0,0.152542373,0.627118644,0.220338983,0,0.305084746,0.254237288,0.050847458,0.372881356,0.016949153,0,0.305084746,0.559322034,0.13559322,0.033898305,0.372881356,0.593220339,0,0.254237288,0.474576271,0.271186441,0,3,1.34,0.86,7,86.3,89.18,1.64,1.07,351.773155874,256.9230769,249.2307692,242.6923077
111001012271,-74.1289223998016,4.58002017782715,"A","coldirafaeluribeur6@educacionbogota.edu.co","","2021/12/31","COLEGIO RAFAEL URIBE URIBE (IED)",263.8461538,81,56,56,49,50,53,2,1,5,6,9,1,12,47,21,1,29,25,19,7,1,0,19,53,9,1,20,55,5,22,31,27,1,0.148148148,0.580246914,0.259259259,0.012345679,0.308641975,0.234567901,0.086419753,0.358024691,0.012345679,0,0.234567901,0.654320988,0.111111111,0.012345679,0.24691358,0.679012346,0.061728395,0.271604938,0.382716049,0.333333333,0.012345679,3,1.39,1.33,3,86.13,88.07,1.35,1.34,219.024920058,270,259.6153846,273.0769231
111001012301,-74.0842339003793,4.54631466533146,"A","escdisanjosesurori4@educacionbogota.edu.co","www.sanjosesuro.webs.com","2021/12/31","COLEGIO SAN JOSE SUR ORIENTAL (IED)",252.1520147,84,53,50,49,50,51,2,1,5,4,9,1,9,55,21,0,34,27,18,5,0,2,31,44,7,5,36,44,0,20,42,22,1,0.105882353,0.647058824,0.247058824,0,0.317647059,0.211764706,0.058823529,0.4,0,0.023529412,0.364705882,0.517647059,0.082352941,0.058823529,0.423529412,0.517647059,0,0.235294118,0.494117647,0.258823529,0.011764706,3,1.34,0.86,2,86.73,89.65,1.45,0.98,265.121012922,257.0512821,259.5072115,255.5978261
111001012343,-74.155708170009,4.61808326835622,"A","cedtomadams8@educacionbogota.edu.co","","2021/12/31","COLEGIO TOM ADAMS (IED)",263.1422351,106,55,53,50,51,54,2,1,5,8,9,1,11,64,31,2,26,43,31,10,1,3,27,63,15,4,35,64,5,26,44,37,3,0.100917431,0.587155963,0.28440367,0.018348624,0.394495413,0.28440367,0.091743119,0.23853211,0.009174312,0.027522936,0.247706422,0.577981651,0.137614679,0.036697248,0.321100917,0.587155963,0.04587156,0.23853211,0.403669725,0.339449541,0.027522936,3,1.47,1.06,3,80.82,83.88,1.97,1.42,285.522465006,263.7772134,263.4688645,259.5567766
111001012360,-74.1535123200437,4.62152393959369,"A","cedeljapon8@educacionbogota.edu.co","www.colegiojapon.edu.co","2021/12/31","COLEGIO EL JAPON (IED)",253.8461538,163,54,51,49,49,51,2,1,5,8,9,1,17,112,36,0,66,53,30,15,0,2,54,92,17,10,74,79,3,36,83,43,3,0.103030303,0.678787879,0.218181818,0,0.321212121,0.181818182,0.090909091,0.4,0,0.012121212,0.327272727,0.557575758,0.103030303,0.060606061,0.448484848,0.478787879,0.018181818,0.218181818,0.503030303,0.260606061,0.018181818,4,1.47,1.06,3,80.82,83.88,1.97,1.42,285.522465006,249.6068376,254.6153846,258.8461538
111001012441,-74.0905352901449,4.70564752090804,"A","escdimorisco10@educacionbogota.edu.co","","2021/12/31","COLEGIO MORISCO (IED)",270.3846154,91,58,54,51,52,58,2,1,5,10,9,1,11,45,32,3,21,23,21,25,1,3,27,33,28,5,29,50,7,18,35,32,6,0.120879121,0.494505495,0.351648352,0.032967033,0.252747253,0.230769231,0.274725275,0.230769231,0.010989011,0.032967033,0.296703297,0.362637363,0.307692308,0.054945055,0.318681319,0.549450549,0.076923077,0.197802198,0.384615385,0.351648352,0.065934066,2,1.38,1.03,3,82.38,87.15,1.55,1.06,395.72206025,275.7692308,275.7692308,279.6153846
111001012459,-74.101996430426,4.69928223699229,"A","escdisanjosenorte10@educacionbogota.edu.co","www.colegiosanjosenorte.jimdo.com","2021/12/31","COLEGIO SAN JOSE NORTE (IED)",296.270903,69,63,60,58,57,60,2,1,5,10,9,1,2,28,37,4,5,25,25,16,1,0,4,39,28,0,11,55,5,4,23,36,7,0.028169014,0.394366197,0.521126761,0.056338028,0.352112676,0.352112676,0.225352113,0.070422535,0.014084507,0,0.056338028,0.549295775,0.394366197,0,0.154929577,0.774647887,0.070422535,0.056338028,0.323943662,0.507042254,0.098591549,1,1.38,1.03,3,86.17,87.71,1.45,1.31,268.675374031,306.4937388,290.8615385,300
