X,Y,WEB,NOMBRE_EST,NOMBRE_SED,ORDEN_DE_S,EMAIL,SECTOR,NATU_JUR,CALENDARIO,GENERO,COD_LOCA,CLASE_TIPO,Fecha,EVALUADOS,P_Puntaje_,P_Lectura,P_Matemati,P_Sociales,P_Ciencias,P_Ingles,Ciencias_N,Ciencias_1,Ciencias_2,Ciencias_3,Ingles_A,Ingles_A1,Ingles_A2,Ingles_B1,Ingles_B,Lectura_1,Lectura_2,Lectura_3,Lectura_4,Matematica,Matemati_1,Matemati_2,Matemati_3,SocialC_1,SocialC_2,SocialC_3,SocialC_4,PCiencias_,PCiencias1,PCiencia_1,PCiencia_2,PIngles_A,PIngles_A1,PIngles_A2,PIngles_B1,PIngles_B,PLectura_1,PLectura_2,PLectura_3,PLectura_4,PMatematic,PMatemat_1,PMatemat_2,PMatemat_3,PSocialC_1,PSocialC_2,PSocialC_3,PSocialC_4,Categoria,COLEGIO_SE,DANE12_SED
-8240730.0152,528252.615899999,https://www.redacademica.edu.co/colegios/colegio-divino-maestro-ied,COLEGIO DIVINO MAESTRO (IED),PILOTO BAVARIA,A,coldivinomaestro1@educacionbogota.edu.co,2,9,1,5,01,1,2022/12/31,123,261.94183860000,55,53,50,51,53,16,69,30,1,33,46,35,10,1,1,31,79,12,5,37,81,1,25,60,38,2,12.90322581000,55.64516129000,29.83870968000,0.80645161300,26.61290323000,37.09677419000,28.22580645000,8.06451612900,0.80645161300,0.80645161300,25.00000000000,63.70967742000,9.67741935500,4.03225806500,29.83870968000,65.32258065000,0.80645161300,20.16129032000,48.38709677000,30.64516129000,1.61290322600,3,111848002689,111848002689
-8240518.1965,528440.6664,,COLEGIO CRISTOBAL COLON (IED),CRISTOBAL COLON,A,coldicristobalcolo1@educacionbogota.edu.co,2,9,1,5,01,1,2022/12/31,64,254.61538460000,54,51,47,51,53,11,48,23,1,25,30,20,3,0,1,30,41,5,4,35,38,1,24,36,17,1,14.10256410000,61.53846154000,23.07692308000,1.28205128200,32.05128205000,38.46153846000,25.64102564000,3.84615384600,0.00000000000,1.28205128200,38.46153846000,52.56410256000,6.41025641000,5.12820512800,44.87179487000,48.71794872000,1.28205128200,30.76923077000,46.15384615000,21.79487179000,1.28205128200,3,111848003031,111848003031
-8240751.7025,527659.624600001,,COLEGIO GENERAL SANTANDER (IED),GENERAL SANTANDER,A,coldigeneralsantan1@educacionbogota.edu.co,2,9,1,5,01,1,2022/12/31,71,247.69230770000,53,49,48,48,50,13,49,18,0,33,29,11,2,1,2,24,45,5,6,32,36,1,19,42,14,1,17.10526316000,64.47368421000,18.42105263000,0.00000000000,43.42105263000,38.15789474000,14.47368421000,2.63157894700,1.31578947400,2.63157894700,31.57894737000,59.21052632000,6.57894736800,7.89473684200,42.10526316000,47.36842105000,1.31578947400,25.00000000000,55.26315789000,18.42105263000,1.31578947400,4,111848003910,111848003910
-8242189.8257,527381.568700001,http://publico.colsubsidio.com/colegio-ceic-norte  --  www.colsubsidio.com,COLEGIO COLSUBSIDIO NORTE,COLEGIO COLSUBSIDIO NORTE,A,colegioceicnorte.secretariaacademica@colsubsidio.com -- colegio.ceicnorte@colsubsidio.com - gloriaicef@yahoo.com,1,2,1,5,01,4,2022/12/31,69,305.76923080000,63,61,60,59,66,1,22,64,2,1,12,28,21,7,0,3,39,27,1,5,52,11,2,14,49,4,1.44927536200,31.88405797000,63.76811594000,2.89855072500,1.44927536200,17.39130435000,40.57971014000,30.43478261000,10.14492754000,0.00000000000,4.34782608700,56.52173913000,39.13043478000,1.44927536200,7.24637681200,75.36231884000,15.94202899000,2.89855072500,20.28985507000,71.01449275000,5.79710144900,1,311001000735,311001000735
-8240911.5361,528964.871100001,www.colegioclaracasas.edu.co,FUNDACION COLEGIO CLARA CASAS MORALES,FUNDACION COLEGIO CLARA CASAS MORALES,A,rectoria@colegioclaracasas.edu.co,1,8,1,1,01,4,2022/12/31,26,302.30769230000,63,62,56,56,75,2,11,46,1,0,1,2,14,9,0,3,15,8,0,5,19,2,4,5,16,1,7.69230769200,42.30769231000,46.15384615000,3.84615384600,0.00000000000,3.84615384600,7.69230769200,53.84615385000,34.61538462000,0.00000000000,11.53846154000,57.69230769000,30.76923077000,0.00000000000,19.23076923000,73.07692308000,7.69230769200,15.38461538000,19.23076923000,61.53846154000,3.84615384600,1,311001002452,311001002452
-8242229.3441,529405.837200001,www.colegioeucaristico.edu.co,COLEGIO EUCARISTICO,COLEGIO EUCARISTICO,A,secretaria@colegioeucaristico.edu.co,1,3,1,1,01,4,2022/12/31,47,316.92307690000,65,63,61,62,71,1,7,60,11,1,2,13,26,5,0,3,22,22,0,3,35,9,1,12,27,7,2.12765957400,14.89361702000,59.57446809000,23.40425532000,2.12765957400,4.25531914900,27.65957447000,55.31914894000,10.63829787000,0.00000000000,6.38297872300,46.80851064000,46.80851064000,0.00000000000,6.38297872300,74.46808511000,19.14893617000,2.12765957400,25.53191489000,57.44680851000,14.89361702000,1,311001003271,311001003271
-8242418.9034,529885.563299999,www.ccb.edu.co,COLEGIO CALASANZ,COLEGIO CALASANZ,A,colegiocalasanz@ccb.edu.co -- rectoria@ccb.edu.co -- mbernal@ccb.edu.co,1,3,1,5,01,4,2022/12/31,76,341.92307690000,68,72,65,66,76,0,7,62,22,0,1,4,47,24,0,1,26,49,0,1,36,39,0,7,47,22,0.00000000000,9.21052631600,61.84210526000,28.94736842000,0.00000000000,1.31578947400,5.26315789500,61.84210526000,31.57894737000,0.00000000000,1.31578947400,34.21052632000,64.47368421000,0.00000000000,1.31578947400,47.36842105000,51.31578947000,0.00000000000,9.21052631600,61.84210526000,28.94736842000,1,311001010781,311001010781
-8240752.8257,528379.26,www.colegiojosemanuelmarroquin.edu.co,COLEGIO JOSE MANUEL MARROQUIN,COLEGIO JOSE MANUEL MARROQUIN,A,coljosemanuelmarroquin2006@terra.com.co  --  seloandre@hotmail.com,1,13,1,5,01,4,2022/12/31,49,288.07692310000,60,58,55,56,62,0,25,49,0,2,15,17,14,1,0,3,38,8,1,8,37,3,4,21,22,2,0.00000000000,51.02040816000,48.97959184000,0.00000000000,4.08163265300,30.61224490000,34.69387755000,28.57142857000,2.04081632700,0.00000000000,6.12244898000,77.55102041000,16.32653061000,2.04081632700,16.32653061000,75.51020408000,6.12244898000,8.16326530600,42.85714286000,44.89795918000,4.08163265300,2,311001017891,311001017891
-8239680.1366,521043.059700001,www.epe.edu.co,ESCUELA PEDAGOGICA EXPERIMENTAL,ESCUELA PEDAGOGICA EXPERIMENTAL,A,epe@epe.edu.co -- marleny.caro@epe.edu.co - corepe@yahoo.com,1,5,1,5,01,4,2022/12/31,28,293.46153850000,61,58,56,57,67,0,11,59,1,1,6,7,11,3,0,3,18,8,1,4,21,3,0,15,12,2,0.00000000000,37.93103448000,58.62068966000,3.44827586200,3.44827586200,20.68965517000,24.13793103000,37.93103448000,10.34482759000,0.00000000000,10.34482759000,62.06896552000,27.58620690000,3.44827586200,13.79310345000,72.41379310000,10.34482759000,0.00000000000,51.72413793000,41.37931034000,6.89655172400,2,311001032246,311001032246
-8241641.2421,524458.380399998,www.educacion.es/exterior/centros/reyescatolicos  --  www.reyescatolicos.edu.co,CENTRO CULTURAL Y EDUCATIVO REYES CATOLICOS,CENTRO CULTURAL Y EDUCATIVO REYES CATOLICOS,A,reyescatolicos.co@mecd.es  --  reyescatolicos.co@educacion.es  --  lukarmen113@yahoo.es  --  julietamrocek@gmail.com  --  luis.fernandez@meed.es,1,14,3,5,01,6,2022/12/31,42,342.69230770000,68,70,66,66,81,0,5,62,11,0,0,0,16,26,0,1,15,26,0,1,18,23,1,3,23,15,0.00000000000,11.90476190000,61.90476190000,26.19047619000,0.00000000000,0.00000000000,0.00000000000,38.09523810000,61.90476190000,0.00000000000,2.38095238100,35.71428571000,61.90476190000,0.00000000000,2.38095238100,42.85714286000,54.76190476000,2.38095238100,7.14285714300,54.76190476000,35.71428571000,1,311001033633,311001033633
-8240847.238,531251.657200001,www.liceopsicopedagogicotibabita.com  --  www.lptibabita.com,LICEO PSICOPEDAGOGICO TIBABITA,LICEO PSICOPEDAGOGICO TIBABITA,A,lptibabita@hotmail.com,1,13,1,5,01,4,2022/12/31,36,250.76923080000,53,51,47,50,49,3,24,25,0,17,8,9,2,0,1,17,12,6,3,14,17,2,11,16,8,1,8.33333333300,66.66666667000,25.00000000000,0.00000000000,47.22222222000,22.22222222000,25.00000000000,5.55555555600,0.00000000000,2.77777777800,47.22222222000,33.33333333000,16.66666667000,8.33333333300,38.88888889000,47.22222222000,5.55555555600,30.55555556000,44.44444444000,22.22222222000,2.77777777800,3,311001044783,311001044783
-8240777.444,530811.536,www.casfa.edu.co,COLEGIO ANEXO SAN FRANCISCO DE ASIS,COLEGIO ANEXO SAN FRANCISCO DE ASIS,A,col_sanfrancisco@hotmail.com -- gloria__c@hotmail.com  --  casfa@casfa.edu.co,1,3,3,5,01,4,2022/12/31,15,304.23076920000,63,62,58,60,62,0,4,67,1,1,2,9,2,1,0,1,9,5,0,2,11,2,0,6,8,1,0.00000000000,26.66666667000,66.66666667000,6.66666666700,6.66666666700,13.33333333000,60.00000000000,13.33333333000,6.66666666700,0.00000000000,6.66666666700,60.00000000000,33.33333333000,0.00000000000,13.33333333000,73.33333333000,13.33333333000,0.00000000000,40.00000000000,53.33333333000,6.66666666700,1,311001046743,311001046743
-8240189.007,529187.038400002,www.gmc.edu.co,GIMNASIO MARROQUIN CAMPESTRE,GIMNASIO MARROQUIN CAMPESTRE,A,gimnasiomarroquincampestre@hotmail.com  --  marisolrios@gmc.edu.co,1,13,1,5,01,4,2022/12/31,56,275.38461540000,60,53,54,53,56,5,32,29,3,14,18,14,8,2,0,11,28,17,6,15,31,4,8,20,24,4,8.92857142900,57.14285714000,28.57142857000,5.35714285700,25.00000000000,32.14285714000,25.00000000000,14.28571429000,3.57142857100,0.00000000000,19.64285714000,50.00000000000,30.35714286000,10.71428571000,26.78571429000,55.35714286000,7.14285714300,14.28571429000,35.71428571000,42.85714286000,7.14285714300,2,311001048002,311001048002
-8242903.1398,528440.308600001,www.cwn.edu.co,COLEGIO WESLEYANO DEL NORTE,COLEGIO WESLEYANO DEL NORTE,A,colegiowesleyano@gmail.com -- marypabon@hotmail.com  --  msolpabon@gmail.com,1,3,1,5,01,4,2022/12/31,86,298.46153850000,63,59,57,57,68,3,30,57,3,1,11,32,31,11,1,4,50,32,1,15,62,9,9,29,44,6,3.44827586200,34.48275862000,57.47126437000,3.44827586200,1.14942528700,12.64367816000,36.78160920000,35.63218391000,12.64367816000,1.14942528700,4.59770114900,57.47126437000,36.78160920000,1.14942528700,17.24137931000,71.26436782000,10.34482759000,10.34482759000,33.33333333000,50.57471264000,6.89655172400,1,311001076031,311001076031
-8240400.1834,528671.654599998,https://institutocolombosueco.edu.co,INSTITUTO COLOMBO SUECO,INSTITUTO COLOMBO SUECO,A,rectoria@institutocolombosueco.edu.co  --  secretariacademica@institutocolombosueco.edu.co,1,5,1,5,01,4,2022/12/31,113,283.84615380000,59,58,55,55,57,6,48,52,1,22,43,27,16,6,2,19,65,29,2,21,83,8,9,52,48,5,5.26315789500,42.10526316000,51.75438596000,0.87719298200,19.29824561000,37.71929825000,23.68421053000,14.03508772000,5.26315789500,1.75438596500,16.66666667000,57.01754386000,25.43859649000,1.75438596500,18.42105263000,72.80701754000,7.01754386000,7.89473684200,45.61403509000,42.10526316000,4.38596491200,2,311001078734,311001078734
-8240543.8067,526971.409600001,www.colegiopierredefermat.co,COLEGIO PIERRE DE FERMAT,COLEGIO PIERRE DE FERMAT,A,colegiopierre@yahoo.com -- malunovoa@yahoo.com - jorgehquiceno@yahoo.com,1,15,1,5,01,4,2022/12/31,18,278.84615380000,59,55,51,56,62,0,11,28,2,0,7,7,4,0,0,2,12,4,0,6,11,1,2,11,4,1,0.00000000000,61.11111111000,27.77777778000,11.11111111000,0.00000000000,38.88888889000,38.88888889000,22.22222222000,0.00000000000,0.00000000000,11.11111111000,66.66666667000,22.22222222000,0.00000000000,33.33333333000,61.11111111000,5.55555555600,11.11111111000,61.11111111000,22.22222222000,5.55555555600,2,311001087725,311001087725
-8240979.3409,530742.4518,www.georgewashington.edu.co,COLEGIO GEORGE WASHINGTON SCHOOL,COLEGIO GEORGE WASHINGTON SCHOOL,A,gws_school@yahoo.com  --  luzhmahecha@yahoo.com  --  gws_academico2013@yahoo.com.co,1,13,1,5,01,4,2022/12/31,25,290.00000000000,58,59,55,57,67,1,9,58,1,0,5,7,11,2,0,5,17,4,1,3,20,2,2,15,7,2,3.84615384600,34.61538462000,57.69230769000,3.84615384600,0.00000000000,19.23076923000,26.92307692000,42.30769231000,7.69230769200,0.00000000000,19.23076923000,65.38461538000,15.38461538000,3.84615384600,11.53846154000,76.92307692000,7.69230769200,7.69230769200,57.69230769000,26.92307692000,7.69230769200,2,311001098671,311001098671
-8240914.2857,530817.463500001,www.gimnasiolaspalmas.edu.co,GIMNASIO LAS PALMAS,GIMNASIO LAS PALMAS,A,gerencia@gimnasiolaspalmas.edu.co  --  gimnasiopalmas@gmail.com  --  rectoria@gimnasiolaspalmas.edu.co,1,15,1,5,01,4,2022/12/31,16,306.15384620000,62,61,59,59,73,1,5,53,2,0,0,2,12,3,0,0,13,4,0,1,15,1,0,5,10,2,5.88235294100,29.41176471000,52.94117647000,11.76470588000,0.00000000000,0.00000000000,11.76470588000,70.58823529000,17.64705882000,0.00000000000,0.00000000000,76.47058824000,23.52941176000,0.00000000000,5.88235294100,88.23529412000,5.88235294100,0.00000000000,29.41176471000,58.82352941000,11.76470588000,1,311001098701,311001098701
-8242972.6499,526417.051600002,www.instituto-studium.edu.co,INSTITUTO STUDIUM,INSTITUTO STUDIUM,A,info@instituto-studium.edu.co  --  carolina.ibarra@instituto-studium.edu.co,1,13,1,5,01,4,2022/12/31,17,279.23076920000,59,56,53,52,66,4,5,44,0,2,1,5,7,2,0,2,12,4,1,3,13,1,3,7,6,1,22.22222222000,27.77777778000,44.44444444000,0.00000000000,11.11111111000,5.55555555600,27.77777778000,38.88888889000,11.11111111000,0.00000000000,11.11111111000,66.66666667000,22.22222222000,5.55555555600,16.66666667000,72.22222222000,5.55555555600,16.66666667000,38.88888889000,33.33333333000,5.55555555600,2,311001103062,311001103062
-8240748.9251,523143.414099999,www.gimnasiovolta.edu.co,GIMNASIO ALESSANDRO VOLTA,GIMNASIO ALESSANDRO VOLTA,A,rectoria@gimnasiovolta.edu.co  --  s-academica@gimnasiovolta.edu.co,1,5,3,5,01,4,2022/12/31,12,364.61538460000,71,76,71,72,78,0,0,42,7,0,0,0,5,7,0,0,1,11,0,0,4,8,0,0,6,6,0.00000000000,0.00000000000,41.66666667000,58.33333333000,0.00000000000,0.00000000000,0.00000000000,41.66666667000,58.33333333000,0.00000000000,0.00000000000,8.33333333300,91.66666667000,0.00000000000,0.00000000000,33.33333333000,66.66666667000,0.00000000000,0.00000000000,50.00000000000,50.00000000000,1,311001107289,311001107289
-8243350.1822,524866.908,www.colegioretos.edu.co,COLEGIO RETOS,COLEGIO RETOS,A,contacto@colegioretos.edu.co  --  secre_academica@colegioretos.edu.co,1,15,2,5,01,4,2022/12/31,27,290.76923080000,59,59,55,57,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,2,311001107599,311001107599
-8242616.1715,522738.316300001,www.tandem.edu.co,TANDEM,TANDEM,A,info@tandem.edu.co,1,15,2,5,01,4,2022/12/31,17,306.53846150000,61,64,57,57,80,0,0,100,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0.00000000000,0.00000000000,100.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,100.00000000000,0.00000000000,0.00000000000,0.00000000000,100.00000000000,0.00000000000,0.00000000000,100.00000000000,0.00000000000,0.00000000000,0.00000000000,100.00000000000,0.00000000000,1,311001109460,311001109460
-8239832.8481,520901.94,www.colegiomonterrosales.edu.co,COLEGIO MONTERROSALES - CICLOS,COLEGIO MONTERROSALES - CICLOS,A,coordinacion@colegiomonterrosales.co -- direccion@colegiomonterrosales.co -- contacto@colegiomonterrosales.co -- gerencia@colegiomonterrosales.co  --  gerencia@colegiomonterrosales.edu.co,1,15,5,5,01,4,2022/12/31,126,290.38461540000,60,58,56,56,65,13,41,48,8,11,27,23,47,12,4,18,61,39,4,27,80,11,13,42,56,10,10.74380165000,33.88429752000,47.93388430000,6.61157024800,9.09090909100,22.31404959000,19.00826446000,38.84297521000,9.91735537200,3.30578512400,14.87603306000,50.41322314000,32.23140496000,3.30578512400,22.31404959000,66.11570248000,9.09090909100,10.74380165000,34.71074380000,46.28099174000,8.26446281000,2,311001109664,311001109664
-8242455.5954,527618.691799998,www.elroble.edu.co,INSTITUTO EL ROBLE                                                                                                     ,INSTITUTO EL ROBLE                                                                                                     ,A,instituto@elroble.edu.co,1,15,5,5,01,4,2022/12/31,15,253.84615380000,53,49,49,49,60,0,1,50,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,2,0,0,0.00000000000,50.00000000000,50.00000000000,0.00000000000,0.00000000000,50.00000000000,50.00000000000,0.00000000000,0.00000000000,0.00000000000,50.00000000000,50.00000000000,0.00000000000,50.00000000000,50.00000000000,0.00000000000,0.00000000000,0.00000000000,100.00000000000,0.00000000000,0.00000000000,4,311001110581,311001110581
-8241794.9966,530714.006200001,,COLEGIO ALFRED MARSHALL,COLEGIO ALFRED MARSHALL,A,alfredmarshall.edu@gmail.com,1,15,2,5,01,4,2022/12/31,28,218.46153850000,47,44,40,44,43,11,28,7,0,28,11,3,0,0,4,22,16,0,6,23,13,0,22,16,4,0,26.19047619000,66.66666667000,7.14285714300,0.00000000000,66.66666667000,26.19047619000,7.14285714300,0.00000000000,0.00000000000,9.52380952400,52.38095238000,38.09523810000,0.00000000000,14.28571429000,54.76190476000,30.95238095000,0.00000000000,52.38095238000,38.09523810000,9.52380952400,0.00000000000,5,311001800499,311001800499
-8242151.2111,525816.951200001,,COLEGIO HAPE HABILIDADES DEL PENSAMIENTO,COLEGIO HAPE HABILIDADES DEL PENSAMIENTO,A,info@colegiohape.edu.co,1,15,1,5,01,4,2022/12/31,10,302.30769230000,63,59,60,57,69,1,2,67,0,0,2,2,6,1,0,0,8,4,0,0,11,1,0,2,10,0,8.33333333300,16.66666667000,66.66666667000,0.00000000000,0.00000000000,16.66666667000,16.66666667000,50.00000000000,8.33333333300,0.00000000000,0.00000000000,66.66666667000,33.33333333000,0.00000000000,0.00000000000,91.66666667000,8.33333333300,0.00000000000,16.66666667000,83.33333333000,0.00000000000,1,311001800588,311001800588
-8241362.8042,531151.162300002,www.csbt.edu.co  --  www.sanbenitodetibati.edu.co,COLEGIO SAN BENITO DE TIBATI,COLEGIO SAN BENITO DE TIBATI,A,vice.csbt@hotmail.com -- tibati.secretaria@hotmail.com - sociedadycultura.csbt@gmail.com  --  s.academica@csbt.edu.co,1,3,1,5,01,4,2022/12/31,71,321.53846150000,64,67,62,63,68,0,4,88,5,1,5,32,27,7,0,3,35,35,0,1,53,18,0,5,58,9,0.00000000000,5.55555555600,87.50000000000,6.94444444400,1.38888888900,6.94444444400,44.44444444000,37.50000000000,9.72222222200,0.00000000000,4.16666666700,48.61111111000,48.61111111000,0.00000000000,1.38888888900,73.61111111000,25.00000000000,0.00000000000,6.94444444400,80.55555556000,12.50000000000,1,311769002214,311769002214
