DANE12_EST,NOMBRE_EST,NIT,DANE12_SED,NOMBRE_SED,ORDEN_DE_S,ZONA,DIRECCION,BARRIO__GE,TELEFONO,EMAIL,WEB,ENFASIS_PA,DISCAPACID,TALENTOS_O,GRUPOS_ETN,REGIMEN_Y,CPF,COD_UPZ,NOMBRE_UPZ,SECTOR_CEN,CODIGO_POS,SECTOR,NATU_JUR,ESTADO,CALENDARIO,GENERO,COD_LOCA,CARACTER_P,ESPECIALID,ESTRATO,CLASE_TIPO,BILINGUE,FECHA
111001086681.00000000000,COLEGIO NUEVO HORIZONTE (IED),"830011856",111001086681.00000000000,NUEVO HORIZONTE,A,URBANA,KR 5 B # 189 B - 30,BUENAVISTA,3002068350  --  6745236  --  6793861  --  6796685,cednvohorizonte1@educacionbogota.edu.co,https://www.redacademica.edu.co/colegios/colegio-nuevo-horizonte-ied,,AUDITIVA-FISICA-INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS",AFRODESCENDIENTES-INDIGENAS-NEGRITUDES,,"108","9",VERBENAL,"008532","110141","2","9","1","1","5","01","1","1","2","1","4",2023/09/30
111001086681.00000000000,COLEGIO NUEVO HORIZONTE (IED),"830011856",111848004053.00000000000,BUENAVISTA,B,URBANA,CL 190 # 4 - 15,BUENAVISTA II SECTOR,3057985961  --  6799984,cednvohorizonte1@educacionbogota.edu.co,https://www.redacademica.edu.co/colegios/colegio-nuevo-horizonte-ied,,AUDITIVA-FISICA-INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE-SORDOCEGUERA,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS",AFRODESCENDIENTES-INDIGENAS-NEGRITUDES,,"103","9",VERBENAL,"008532","110141","2","9","1","1","5","01","4","13","2","1","4",2023/09/30
111001086681.00000000000,COLEGIO NUEVO HORIZONTE (IED),"830011856",111001041629.00000000000,HORIZONTE,C,RURAL,KR 3 # 186 B - 04,LA ESTRELLITA I,3057916933  --  6790669,cednvohorizonte1@educacionbogota.edu.co,https://www.redacademica.edu.co/colegios/colegio-nuevo-horizonte-ied,,AUDITIVA-INTELECTUAL,"CAPACIDADES EXCEPCIONALES-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS-TALENTO EXCEPCIONAL EN CIENCIAS NATURALES O BASICAS-TALENTO EXCEPCIONAL EN TECNOLOGIA",AFRODESCENDIENTES-INDIGENAS-NEGRITUDES,,"104","9",VERBENAL,"208203","110141","2","9","1","1","5","01","4","13","2","1","4",2023/09/30
111001086681.00000000000,COLEGIO NUEVO HORIZONTE (IED),"830011856",211848000141.00000000000,TORCA,D,RURAL,KR 7 CL 224 COSTADO SUR ORIENTAL,TORCA,3057927389  --  6761875,cednvohorizonte1@educacionbogota.edu.co,https://www.redacademica.edu.co/colegios/colegio-nuevo-horizonte-ied,,AUDITIVA-INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE",INDIGENAS,,"112",UPR 1,ZONA NORTE,"108110","110151","2","9","1","1","5","01","1","1","7","1","4",2023/09/30
111001098612.00000000000,COLEGIO LA ESTRELLITA (IED),"8001053451",111001098612.00000000000,COLEGIO LA ESTRELLITA (IED) - SEDE PRINCIPAL,A,URBANA,KR 4 # 187 B - 37,BUENAVISTA,6799199  --  6799077,rectorbosco3@fundaciondonbosco.org  --  bosco3@fundaciondonbosco.org,,,AUDITIVA-FISICA-INTELECTUAL-MULTIPLE,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS-TALENTO EXCEPCIONAL EN LIDERAZGO SOCIAL Y EMPRENDIMIENTO-TALENTO EXCEPCIONAL EN TECNOLOGIA",AFRODESCENDIENTES-INDIGENAS-NEGRITUDES,,"136","9",VERBENAL,"008532","110141","2","9","1","1","5","01","1","1","2","2","4",2023/09/30
111001102059.00000000000,COLEGIO UNION COLOMBIA (IED),"860531643",111848002670.99998474121,PILOTO DE APLICACION,A,URBANA,KR 7 A # 182 A - 07,EL ROCIO NORTE,"6796956",enalpilotodeaplica1@educacionbogota.edu.co,www.unioncolombia.com  --  www.colegiounioncolombia.com,,INTELECTUAL-MENTAL/PSICOSOCIAL,TALENTO EXCEPCIONAL EN ARTES Y LETRAS,INDIGENAS-NEGRITUDES,,"132","9",VERBENAL,"008522","110141","2","9","1","1","5","01","1","1","3","1","4",2023/09/30
111001102059.00000000000,COLEGIO UNION COLOMBIA (IED),"860531643",111848000252.00000000000,SANTA CLAUDIA,B,URBANA,CL 189 # 7 - 05,TIBABITA,6701134  --  6771356,enalpilotodeaplica1@educacionbogota.edu.co,www.colegiounioncolombia.com,,INTELECTUAL,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN CIENCIAS SOCIALES O HUMANAS",INDIGENAS,,"130","9",VERBENAL,"008521","110141","2","9","1","1","5","01","4","13","3","1","4",2023/09/30
111001107742.99998474121,COLEGIO SALUDCOOP NORTE (IED),"900172786",111001107742.99998474121,SALUDCOOP NORTE,A,URBANA,CL 181 # 18 B - 83,SAN ANTONIO NOROCCIDENTAL,6682102  --  6775954  --  6784538/72,colsaludcoopnorte@educacionbogota.edu.co,,,AUDITIVA-FISICA-INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE-VISUAL,"CAPACIDADES EXCEPCIONALES-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS-TALENTO EXCEPCIONAL EN CIENCIAS SOCIALES O HUMANAS-TALENTO EXCEPCIONAL EN LIDERAZGO SOCIAL Y EMPRENDIMIENTO-TALENTO EXCEPCIONAL E",AFRODESCENDIENTES-INDIGENAS-NEGRITUDES-RAIZALES,,"137","9",VERBENAL,"008528","110141","2","9","1","1","5","01","1","1","2","1","4",2023/09/30
111848000911.00001525879,COLEGIO DE BACHILLERATO PATRIA,"8001306403",111848000911.00001525879,COLEGIO DE BACHILLERATO PATRIA,A,URBANA,CL 100 # 11 - 00,ESCUELA DE INFANTERIA,3508582846  --  2147327,cbpsr100@liceosejercito.edu.co,www.liceosejercito.edu.co,,-FISICA-INTELECTUAL-VOZ Y HABLA-,-OTRO-,INDIGENAS-NEGRITUDES,,"0","14",USAQUEN,"008410","110221","1","14","1","1","5","01","1","1","7","6","4",2023/09/30
111848001046.00000000000,FUNDACION LA ENSEÑANZA,"8600242405",111848001046.00000000000,FUNDACION LA ENSEÑANZA,A,URBANA,KR 7 A # 186 - 63,TIBABITA,"6681847",funlaensenanza@gmail.com,,,,,,LIBERTAD VIGILADA,"0","9",VERBENAL,"008521","110141","1","8","1","1","5","01","4","13","3","4","4",2023/09/30
111848002522.00000000000,INSTITUTO PEDAGOGICO NACIONAL,"8999991244",111848002522.00000000000,INSTITUTO PEDAGOGICO NACIONAL,A,URBANA,AC 127 # 11 - 20,S.C. LA CAROLINA,"6276927",ipn@pedagogica.edu.co,www.pedagogica.edu.co  --  www.ipn.pedagogica.edu.co,CIENCIAS NATURALES - CIENCIAS SOCIALES - ARTE O LENGUAS EXTRANJERAS,-INTELECTUAL-,,INDIGENAS,,"0","15",COUNTRY CLUB,"008403","110121","2","10","1","1","5","01","1","1","6","3","4",2023/09/30
111848002662.00000000000,COLEGIO USAQUEN (IED),"8999992923",111848002662.00000000000,USAQUEN,A,URBANA,CL 127 C # 9 A - 03,LA CAROLINA,8586668 -- 6156815,colescoloniaescola1@educacionbogota.edu.co,,,AUDITIVA-FISICA-INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE-VISUAL,"CAPACIDADES EXCEPCIONALES-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS-TALENTO EXCEPCIONAL EN CIENCIAS NATURALES O BASICAS-TALENTO EXCEPCIONAL EN CIENCIAS SOCIALES O HUMANAS-TALENTO EXCEPCIONAL EN LID",AFRODESCENDIENTES-INDIGENAS-NEGRITUDES,,"118","15",COUNTRY CLUB,"008402","110121","2","9","1","1","5","01","1","1","6","1","4",2023/09/30
111848002662.00000000000,COLEGIO USAQUEN (IED),"8999992923",111848000112.00000000000,LOS CEDRITOS,B,URBANA,AK 9 # 146 - 40,LOS CEDROS ORIENTAL,2586668  --  2591257,colescoloniaescola1@educacionbogota.edu.co,,,INTELECTUAL-MULTIPLE-VISUAL,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS",,,"125","13",LOS CEDROS,"008509","110121","2","9","1","1","5","01","4","13","4","1","4",2023/09/30
111848002689.00000000000,COLEGIO DIVINO MAESTRO (IED),"8001170006",111848002689.00000000000,PILOTO BAVARIA,A,URBANA,KR 8 C # 163 B - 20,SAN CRISTOBAL NORTE,"6681949",coldivinomaestro1@educacionbogota.edu.co,https://www.redacademica.edu.co/colegios/colegio-divino-maestro-ied,,INTELECTUAL-MULTIPLE-SORDOCEGUERA,TALENTO EXCEPCIONAL EN ARTES Y LETRAS,INDIGENAS-NEGRITUDES,,"131","11",SAN CRISTOBAL NORTE,"008505","110131","2","9","1","1","5","01","1","1","3","1","4",2023/09/30
111848002689.00000000000,COLEGIO DIVINO MAESTRO (IED),"8001170006",111848000091.00000000000,DIVINO MAESTRO,B,URBANA,CL 164 # 7 F - 08,SAN CRISTOBAL NORTE,"6749236",coldivinomaestro1@educacionbogota.edu.co,https://www.redacademica.edu.co/colegios/colegio-divino-maestro-ied,,AUDITIVA-FISICA-INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE-SORDOCEGUERA-VISUAL,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE",AFRODESCENDIENTES-INDIGENAS-NEGRITUDES-PALENQUEROS,,"120","11",SAN CRISTOBAL NORTE,"008505","110131","2","9","1","1","5","01","4","13","3","1","4",2023/09/30
111848002689.00000000000,COLEGIO DIVINO MAESTRO (IED),"8001170006",111848000058.00000000000,SAN CRISTOBAL NORTE,C,URBANA,KR 7 D # 163 A - 56,SAN CRISTOBAL NORTE,"6698282",coldivinomaestro1@educacionbogota.edu.co,https://www.redacademica.edu.co/colegios/colegio-divino-maestro-ied,,INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS-TALENTO EXCEPCIONAL EN LIDERAZGO SOCIAL Y EMPRENDIMIENTO",AFRODESCENDIENTES-INDIGENAS,,"109","11",SAN CRISTOBAL NORTE,"008505","110131","2","9","1","1","5","01","4","13","3","1","4",2023/09/30
111848003031.00000000000,COLEGIO CRISTOBAL COLON (IED),"8605322300",111848003031.00000000000,CRISTOBAL COLON,A,URBANA,CL 165 # 8 A - 03  --  CL 165 # 18 - 03,SAN CRISTOBAL NORTE 2,6774300  --  6788927  --  6799169  --  6719464 EXT 102,coldicristobalcolo1@educacionbogota.edu.co,,INGLES--GESTION EMPRESARIAL,AUDITIVA-INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE-SORDOCEGUERA-VISUAL,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS-TALENTO EXCEPCIONAL EN LIDERAZGO SOCIAL Y EMPRENDIMIENTO-TALENTO EXCEPCIONAL EN TECNOLOGIA",AFRODESCENDIENTES-INDIGENAS-NEGRITUDES-RAIZALES,,"116","11",SAN CRISTOBAL NORTE,"008505","110131","2","9","1","1","5","01","1","1","3","1","4",2023/09/30
111848003031.00000000000,COLEGIO CRISTOBAL COLON (IED),"8605322300",111001046949.00000000000,SANTA CECILIA BAJA,B,URBANA,KR 5 A # 163 D - 46,BOSQUE DE PINOS,6788963 -- 6799169,coldicristobalcolo1@educacionbogota.edu.co,,,FISICA-INTELECTUAL-MULTIPLE,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS",INDIGENAS-NEGRITUDES,,"110","11",SAN CRISTOBAL NORTE,"008504","110131","2","9","1","1","5","01","4","13","2","1","4",2023/09/30
111848003031.00000000000,COLEGIO CRISTOBAL COLON (IED),"8605322300",111848000073.99998474121,SORATAMA,C,URBANA,CL 167 # 3 - 44,SORATAMA,6798412 -- 6782756,coldicristobalcolo1@educacionbogota.edu.co,,,FISICA-MULTIPLE,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE",AFRODESCENDIENTES,,"111","11",SAN CRISTOBAL NORTE,"008504","110131","2","9","1","1","5","01","4","13","7","1","4",2023/09/30
111848003910.00000000000,COLEGIO GENERAL SANTANDER (IED),"8605324457",111848003910.00000000000,GENERAL SANTANDER,A,URBANA,CL 159 # 8 - 56,BARRANCAS NORTE,6788559 -- 6788487,coldigeneralsantan1@educacionbogota.edu.co,,,FISICA-INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE-VISUAL,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE",AFRODESCENDIENTES-INDIGENAS-NEGRITUDES,,"138","11",SAN CRISTOBAL NORTE,"008506","110131","2","9","1","1","5","01","1","1","3","1","4",2023/09/30
311001000735.00000000000,COLEGIO COLSUBSIDIO NORTE,"8600073361",311001000735.00000000000,COLEGIO COLSUBSIDIO NORTE,A,URBANA,CL 151 # 15 - 70,LAS MARGARITAS,7045727  --  7552029/53  --  3223459763  --  3219297238,secretariaacademica.norte@colsubsidio.edu.co  --  colegioceicnorte.secretariaacademica@colsubsidio.com  --  rectoria.bac@colsubsidio.edu.co  --  ceicnorte@colsubsidio.com  --  colegio.ceicnorte@colsubsidio.com,http://publico.colsubsidio.com/colegio-ceic-norte  --  www.colsubsidio.com,,-INTELECTUAL-MULTIPLE-PSICOSOCIAL-,"-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-",INDIGENAS,LIBERTAD REGULADA,"0","13",LOS CEDROS,"008530","110131","1","2","1","1","5","01","1","1","7","4","4",2023/09/30
311001002452.00000000000,FUNDACION COLEGIO CLARA CASAS MORALES,"8300292240",311001002452.00000000000,FUNDACION COLEGIO CLARA CASAS MORALES,A,URBANA,KR 8 G # 168 - 30,SANTA TERESA,"6789982",rectoria@colegioclaracasas.edu.co,www.colegioclaracasas.edu.co,,-FISICA-,,,LIBERTAD REGULADA,"0","10",LA URIBE,"008503","110131","1","8","1","1","1","01","1","1","3","4","4",2023/09/30
311001003271.00000000000,COLEGIO EUCARISTICO,"8600105351",311001003271.00000000000,COLEGIO EUCARISTICO,A,URBANA,CL 170 # 17 A - 32,LAS GRANJAS DEL NORTE,6722474 -- 6700734,secretaria@colegioeucaristico.edu.co,www.colegioeucaristico.edu.co,,-INTELECTUAL-,,,LIBERTAD REGULADA,"0","10",LA URIBE,"008525","110141","1","3","1","1","1","01","1","1","7","4","4",2023/09/30
311001010781.00000000000,COLEGIO CALASANZ,"8600147102",311001010781.00000000000,COLEGIO CALASANZ,A,URBANA,KR 20 A # 173 A - 10,LA URIBE,6780942 -- 6725701 -- 6698835/36,colegiocalasanz@ccb.edu.co -- rectoria@ccb.edu.co -- mbernal@ccb.edu.co,www.ccb.edu.co,,AUDITIVA-FISICA-INTELECTUAL-MULTIPLE-PSICOSOCIAL-VISUAL-,,INDIGENAS,LIBERTAD REGULADA,"0","10",LA URIBE,"008528","110141","1","3","1","1","5","01","1","1","4","4","4",2023/09/30
311001017891.00000000000,COLEGIO JOSE MANUEL MARROQUIN,"190853782",311001017891.00000000000,COLEGIO JOSE MANUEL MARROQUIN,A,URBANA,KR 8 C # 164 - 24,SAN CRISTOBAL NORTE,6717821 -- 6749185,coljosemanuelmarroquin2006@terra.com.co  --  seloandre@hotmail.com,www.colegiojosemanuelmarroquin.edu.co,,-INTELECTUAL-MULTIPLE-,,INDIGENAS,LIBERTAD REGULADA,"0","11",SAN CRISTOBAL NORTE,"008505","110131","1","13","1","1","5","01","1","1","3","4","4",2023/09/30
311001032246.00000000000,ESCUELA PEDAGOGICA EXPERIMENTAL,"8001495258",311001032246.00000000000,ESCUELA PEDAGOGICA EXPERIMENTAL,A,RURAL,KM 5 VIA A LA CALERA,LA CALERA,6486823  --  6485371  --  2442136,epe@epe.edu.co -- marleny.caro@epe.edu.co - corepe@yahoo.com,www.epe.edu.co,,-OTRA,,INDIGENAS,LIBERTAD REGULADA,"0",UPR 2,CERROS ORIENTALES,"008318","110111","1","5","1","1","5","01","1","1","7","4","4",2023/09/30
311001033633.00000000000,CENTRO CULTURAL Y EDUCATIVO REYES CATOLICOS,"8600773489",311001033633.00000000000,CENTRO CULTURAL Y EDUCATIVO REYES CATOLICOS,A,URBANA,CL 127 A # 11 B - 54,BELLA SUIZA,6336992  --  2747012 EXT 111  --  2748742 Ext 113  --  6482073,reyescatolicos.co@educacion.gob.es,www.educacion.es/exterior/centros/reyescatolicos,CIENCIAS NATURALES - HUMANIDADES,,,,LIBERTAD REGULADA,"0","15",COUNTRY CLUB,"008402","110121","1","14","1","3","5","01","1","1","6","6","4",2023/09/30
311001036489.00000000000,CENTRO SANTA MARIA,"8600450946",311001036489.00000000000,CENTRO SANTA MARIA,A,URBANA,KR 11 # 185 B - 17,SAN CRISTOBAL NORTE,8050428 -- 6714440,stovar@csm.edu.co  --  lmalez@csm.edu.co,www.centrosantamaria.com.co,,,,,LIBERTAD REGULADA,"0","9",VERBENAL,"008526","110141","1","8","1","1","5","01","4","13","3","4","4",2023/09/30
311001039054.00000000000,COLEGIO FUNDACION LA PAZ,"8001149876",311001039054.00000000000,COLEGIO FUNDACION LA PAZ,A,URBANA,KR 8 C BIS # 163 B - 25,SAN CRISTOBAL NORTE,6728636 -- 6774459,fundapaz163@hotmail.com,,,-INTELECTUAL-,"-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-",,LIBERTAD VIGILADA,"0","11",SAN CRISTOBAL NORTE,"008505","110131","1","8","1","1","5","01","4","13","3","4","4",2023/09/30
311001039402.00000000000,JARDIN INFANTIL MI PATO CUA CUA,"8300214724",311001039402.00000000000,JARDIN INFANTIL MI PATO CUA CUA,A,URBANA,KR 18 A # 104 - 45,SANTA BIBIANA,3103204419  --  2364368 -- 2561911 -- 4782452,mipatocuacua@hotmail.com --  academico@mipatocuacua.com - coordinacionmipatocuacua@hotmail.com,www.mipatocuacua.com,,,,,LIBERTAD REGULADA,"0","16",SANTA BARBARA,"008412","110111","1","13","1","3","5","01","4","13","6","4","4",2023/09/30
311001041334.00000000000,LICEO ALTA BLANCA,"193173353",311001041334.00000000000,LICEO ALTA BLANCA,A,URBANA,CL 157 # 7 H - 70,BARRANCAS NORTE,6720404  --  6703303  --  6701861,liceoaltablanca@etb.net.co  --  liceoaltablanca2014@gmail.com,www.liceoaltablanca.com,,,,,LIBERTAD REGULADA,"0","11",SAN CRISTOBAL NORTE,"008506","110131","1","13","1","1","5","01","1","1","3","4","4",2023/09/30
