X,Y,ORDEN_DE_S,EMAIL,WEB,Fecha,COLEGIO_SE,P_Puntaje_,EVALUADOS,COD_DANE12,P_Lectura,P_Matemati,P_Sociales,P_Ciencias,P_Ingles,Sector,CALENDARIO,GENERO,COD_LOCA,NATU_JUR,CLASE_TIPO,Ciencias_N,Ciencias_1,Ciencias_2,Ciencias_3,Ingles_A,Ingles_A1,Ingles_A2,Ingles_B1,Ingles_B,Lectura_1,Lectura_2,Lectura_3,Lectura_4,Matematica,Matemati_1,Matemati_2,Matemati_3,SocialC_1,SocialC_2,SocialC_3,SocialC_4,PCiencias_,PCiencias1,PCiencia_1,PCiencia_2,PIngles_A1,PIngles_A2,PIngles_B1,PIngles_A,PIngles_B,PLectura_1,PLectura_2,PLectura_3,PLectura_4,PMatematic,PMatemat_1,PMatemat_2,PMatemat_3,PSocialC_1,PSocialC_2,PSocialC_3,PSocialC_4,Categoria
-8240730.0152,528252.615899999,A,coldivinomaestro1@educacionbogota.edu.co,https://www.redacademica.edu.co/colegios/colegio-divino-maestro-ied,2021/12/31,COLEGIO DIVINO MAESTRO (IED),247.69230770000,91,111848002689.00000000000,53,50,49,47,47,2,1,5,01,9,1,20,66,19,0,53,34,12,4,0,3,42,44,13,8,50,44,0,23,54,27,0,0.19417475700,0.64077669900,0.18446601900,0.00000000000,0.33009708700,0.11650485400,0.03883495100,0.51456310700,0.00000000000,0.02912621400,0.40776699000,0.42718446600,0.12621359200,0.07766990300,0.48543689300,0.42718446600,0.00000000000,0.22330097100,0.52427184500,0.26213592200,0.00000000000,3
-8240518.1965,528440.6664,A,coldicristobalcolo1@educacionbogota.edu.co,,2021/12/31,COLEGIO CRISTOBAL COLON (IED),250.38461540000,100,111848003031.00000000000,54,50,48,48,51,2,1,5,01,9,1,19,64,20,1,43,32,25,4,0,2,40,51,11,9,44,50,1,26,50,27,1,0.18269230800,0.61538461500,0.19230769200,0.00961538500,0.30769230800,0.24038461500,0.03846153800,0.41346153800,0.00000000000,0.01923076900,0.38461538500,0.49038461500,0.10576923100,0.08653846200,0.42307692300,0.48076923100,0.00961538500,0.25000000000,0.48076923100,0.25961538500,0.00961538500,3
-8240751.7025,527659.624600001,A,coldigeneralsantan1@educacionbogota.edu.co,,2021/12/31,COLEGIO GENERAL SANTANDER (IED),241.92307690000,46,111848003910.00000000000,53,47,47,46,50,2,1,5,01,9,1,12,25,8,1,18,20,7,1,0,1,17,24,4,2,29,15,0,13,23,10,0,0.26086956500,0.54347826100,0.17391304300,0.02173913000,0.43478260900,0.15217391300,0.02173913000,0.39130434800,0.00000000000,0.02173913000,0.36956521700,0.52173913000,0.08695652200,0.04347826100,0.63043478300,0.32608695700,0.00000000000,0.28260869600,0.50000000000,0.21739130400,0.00000000000,3
-8242189.8257,527381.568700001,A,colegioceicnorte.secretariaacademica@colsubsidio.com -- colegio.ceicnorte@colsubsidio.com - gloriaicef@yahoo.com,http://publico.colsubsidio.com/colegio-ceic-norte  --  www.colsubsidio.com,2021/12/31,COLEGIO COLSUBSIDIO NORTE,312.30769230000,62,311001000735.00000000000,64,62,62,60,68,1,1,5,01,2,4,0,17,41,5,1,9,21,25,7,0,3,37,23,0,2,54,7,2,12,38,10,0.00000000000,0.26984127000,0.65079365100,0.07936507900,0.14285714300,0.33333333300,0.39682539700,0.01587301600,0.11111111100,0.00000000000,0.04761904800,0.58730158700,0.36507936500,0.00000000000,0.03174603200,0.85714285700,0.11111111100,0.03174603200,0.19047619000,0.60317460300,0.15873015900,1
-8240911.5361,528964.871100001,A,rectoria@colegioclaracasas.edu.co,www.colegioclaracasas.edu.co,2021/12/31,FUNDACION COLEGIO CLARA CASAS MORALES,317.30769230000,21,311001002452.00000000000,65,60,65,59,78,1,1,1,01,8,4,0,7,13,1,0,0,2,12,7,0,1,7,13,0,5,11,5,0,4,12,5,0.00000000000,0.33333333300,0.61904761900,0.04761904800,0.00000000000,0.09523809500,0.57142857100,0.00000000000,0.33333333300,0.00000000000,0.04761904800,0.33333333300,0.61904761900,0.00000000000,0.23809523800,0.52380952400,0.23809523800,0.00000000000,0.19047619000,0.57142857100,0.23809523800,1
-8242229.3441,529405.837200001,A,secretaria@colegioeucaristico.edu.co,www.colegioeucaristico.edu.co,2021/12/31,COLEGIO EUCARISTICO,312.30769230000,41,311001003271.00000000000,65,61,61,60,71,1,1,1,01,3,4,0,12,26,3,1,4,8,16,12,0,1,20,20,0,5,29,7,1,12,23,5,0.00000000000,0.29268292700,0.63414634100,0.07317073200,0.09756097600,0.19512195100,0.39024390200,0.02439024400,0.29268292700,0.00000000000,0.02439024400,0.48780487800,0.48780487800,0.00000000000,0.12195122000,0.70731707300,0.17073170700,0.02439024400,0.29268292700,0.56097561000,0.12195122000,1
-8242418.9034,529885.563299999,A,colegiocalasanz@ccb.edu.co -- rectoria@ccb.edu.co -- mbernal@ccb.edu.co,www.ccb.edu.co,2021/12/31,COLEGIO CALASANZ,346.53846150000,97,311001010781.00000000000,69,72,67,66,79,1,1,5,01,3,4,0,11,59,28,0,2,10,45,40,0,1,26,71,0,3,37,58,1,9,50,38,0.00000000000,0.11224489800,0.60204081600,0.28571428600,0.02040816300,0.10204081600,0.45918367300,0.00000000000,0.40816326500,0.00000000000,0.01020408200,0.26530612200,0.72448979600,0.00000000000,0.03061224500,0.37755102000,0.59183673500,0.01020408200,0.09183673500,0.51020408200,0.38775510200,1
-8240752.8257,528379.26,A,coljosemanuelmarroquin2006@terra.com.co  --  SELOANDRE@HOTMAIL.COM,www.colegiojosemanuelmarroquin.edu.co,2021/12/31,COLEGIO JOSE MANUEL MARROQUIN,273.46153850000,45,311001017891.00000000000,58,53,53,53,60,1,1,5,01,13,4,1,26,18,0,4,15,17,7,2,0,8,27,10,2,17,22,4,6,19,20,0,0.02222222200,0.57777777800,0.40000000000,0.00000000000,0.33333333300,0.37777777800,0.15555555600,0.08888888900,0.04444444400,0.00000000000,0.17777777800,0.60000000000,0.22222222200,0.04444444400,0.37777777800,0.48888888900,0.08888888900,0.13333333300,0.42222222200,0.44444444400,0.00000000000,2
-8239680.1366,521043.059700001,A,epe@epe.edu.co -- marleny.caro@epe.edu.co - corepe@yahoo.com,www.epe.edu.co,2021/12/31,ESCUELA PEDAGOGICA EXPERIMENTAL,270.76923080000,43,311001032246.00000000000,57,52,52,52,65,1,1,5,01,5,4,7,20,14,2,5,10,9,14,4,0,10,26,7,2,20,19,2,8,16,15,4,0.16279069800,0.46511627900,0.32558139500,0.04651162800,0.23255814000,0.20930232600,0.32558139500,0.11627907000,0.09302325600,0.00000000000,0.23255814000,0.60465116300,0.16279069800,0.04651162800,0.46511627900,0.44186046500,0.04651162800,0.18604651200,0.37209302300,0.34883720900,0.09302325600,2
-8241641.2421,524458.380399998,A,"reyescatolicos.co@mecd.es - reyescatolicos.co@educacion.es;lukarmen113@yahoo.es;julietamrocek@gmail.com;LUIS.FERNANDEZ@MEED.ES",www.educacion.es/exterior/centros/reyescatolicos  --  www.reyescatolicos.edu.co,2021/12/31,CENTRO EDUCATIVO Y CULTURAL ESPAÑOL REYES CATOLICOS,353.07692310000,40,311001033633.00000000000,69,73,70,67,81,1,3,5,01,11,4,0,2,28,10,0,0,0,17,23,0,0,8,32,0,0,13,27,0,0,22,18,0.00000000000,0.05000000000,0.70000000000,0.25000000000,0.00000000000,0.00000000000,0.42500000000,0.00000000000,0.57500000000,0.00000000000,0.00000000000,0.20000000000,0.80000000000,0.00000000000,0.00000000000,0.32500000000,0.67500000000,0.00000000000,0.00000000000,0.55000000000,0.45000000000,1
-8240847.238,531251.657200001,A,lptibabita@hotmail.com,www.liceopsicopedagogicotibabita.com  --  www.lptibabita.com,2021/12/31,LICEO PSICOPEDAGOGICO TIBABITA,268.07692310000,35,311001044783.00000000000,56,53,52,53,55,1,1,5,01,13,4,4,16,14,1,6,14,12,3,0,0,10,19,6,2,11,21,1,4,17,14,0,0.11428571400,0.45714285700,0.40000000000,0.02857142900,0.40000000000,0.34285714300,0.08571428600,0.17142857100,0.00000000000,0.00000000000,0.28571428600,0.54285714300,0.17142857100,0.05714285700,0.31428571400,0.60000000000,0.02857142900,0.11428571400,0.48571428600,0.40000000000,0.00000000000,3
-8240777.444,530811.536,A,col_sanfrancisco@hotmail.com -- gloria__c@hotmail.com  --  casfa@casfa.edu.co,www.casfa.edu.co,2021/12/31,COLEGIO ANEXO SAN FRANCISCO DE ASIS,303.07692310000,15,311001046743.00000000000,63,65,56,58,62,1,3,5,01,13,4,0,6,8,1,1,4,4,6,0,0,3,3,9,0,0,11,4,2,3,10,0,0.00000000000,0.40000000000,0.53333333300,0.06666666700,0.26666666700,0.26666666700,0.40000000000,0.06666666700,0.00000000000,0.00000000000,0.20000000000,0.20000000000,0.60000000000,0.00000000000,0.00000000000,0.73333333300,0.26666666700,0.13333333300,0.20000000000,0.66666666700,0.00000000000,1
-8240189.007,529187.038400002,A,gimnasiomarroquincampestre@hotmail.com - MARISOLRIOS@GMC.EDU.CO,www.gmc.edu.co,2021/12/31,GIMNASIO MARROQUIN CAMPESTRE,275.00000000000,77,311001048002.00000000000,59,54,53,53,58,1,1,5,01,13,4,6,43,27,1,11,25,27,13,1,0,14,47,16,3,20,51,3,11,35,26,5,0.07792207800,0.55844155800,0.35064935100,0.01298701300,0.32467532500,0.35064935100,0.16883116900,0.14285714300,0.01298701300,0.00000000000,0.18181818200,0.61038961000,0.20779220800,0.03896103900,0.25974026000,0.66233766200,0.03896103900,0.14285714300,0.45454545500,0.33766233800,0.06493506500,2
-8242903.1398,528440.308600001,A,"colegiowesleyano@gmail.com - marypabon@hotmail.com; msolpabon@gmail.com",www.cwn.edu.co,2021/12/31,COLEGIO WESLEYANO DEL NORTE,299.61538460000,69,311001076031.00000000000,62,60,58,58,65,1,1,5,01,8,4,3,24,37,5,3,16,26,18,6,0,4,44,21,0,13,49,7,2,26,32,9,0.04347826100,0.34782608700,0.53623188400,0.07246376800,0.23188405800,0.37681159400,0.26086956500,0.04347826100,0.08695652200,0.00000000000,0.05797101400,0.63768115900,0.30434782600,0.00000000000,0.18840579700,0.71014492800,0.10144927500,0.02898550700,0.37681159400,0.46376811600,0.13043478300,1
-8240400.1834,528671.654599998,A,rectoriacolombosueco@hotmail.com - enithvm@hotmail.com,www.institutocolombosueco.jumdo.com  --  www.institutocolombosueco.com,2021/12/31,INSTITUTO TECNICO COLOMBO SUECO,276.53846150000,115,311001078734.00000000000,59,56,53,53,56,1,1,5,01,11,4,9,61,42,3,16,55,34,12,0,0,22,68,26,2,26,81,7,14,56,42,5,0.07758620700,0.52586206900,0.36206896600,0.02586206900,0.47413793100,0.29310344800,0.10344827600,0.13793103400,0.00000000000,0.00000000000,0.18965517200,0.58620689700,0.22413793100,0.01724137900,0.22413793100,0.69827586200,0.06034482800,0.12068965500,0.48275862100,0.36206896600,0.04310344800,2
-8240543.8067,526971.409600001,A,colegiopierre@yahoo.com -- malunovoa@yahoo.com - jorgehquiceno@yahoo.com,www.colegiopierredefermat.co,2021/12/31,COLEGIO PIERRE DE FERMAT,280.76923080000,25,311001087725.00000000000,59,56,54,54,61,1,1,5,01,15,4,0,16,8,1,4,7,9,3,2,0,4,15,6,0,8,16,1,2,15,8,0,0.00000000000,0.64000000000,0.32000000000,0.04000000000,0.28000000000,0.36000000000,0.12000000000,0.16000000000,0.08000000000,0.00000000000,0.16000000000,0.60000000000,0.24000000000,0.00000000000,0.32000000000,0.64000000000,0.04000000000,0.08000000000,0.60000000000,0.32000000000,0.00000000000,2
-8242918.5887,526014.347100001,A,colegiorichadwagner@hotmail.com - dianacarvajaldiaz@yahoo.es  --  colegiorichardwagner@hotmail.com,www.colegiorichardwagner.com,2021/12/31,COLEGIO RICHARD WAGNER,254.23076920000,3,311001092923.00000000000,54,48,46,50,67,1,1,5,01,1,4,1,1,1,0,0,0,3,1,0,0,1,3,0,0,3,1,0,1,1,1,0,0.25000000000,0.25000000000,0.25000000000,0.00000000000,0.00000000000,0.75000000000,0.25000000000,0.00000000000,0.00000000000,0.00000000000,0.25000000000,0.75000000000,0.00000000000,0.00000000000,0.75000000000,0.25000000000,0.00000000000,0.25000000000,0.25000000000,0.25000000000,0.00000000000,3
-8240979.3409,530742.4518,A,"gws_school@yahoo.com - luzhmahecha@yahoo.com;gws_academico2013@yahoo.com.co",www.georgewashington.edu.co,2021/12/31,COLEGIO GEORGE WASHINGTON SCHOOL,276.92307690000,33,311001098671.00000000000,59,53,54,52,66,1,1,5,01,13,4,4,16,11,2,0,7,12,10,4,1,4,21,7,2,11,19,1,4,16,11,2,0.12121212100,0.48484848500,0.33333333300,0.06060606100,0.21212121200,0.36363636400,0.30303030300,0.00000000000,0.12121212100,0.03030303000,0.12121212100,0.63636363600,0.21212121200,0.06060606100,0.33333333300,0.57575757600,0.03030303000,0.12121212100,0.48484848500,0.33333333300,0.06060606100,2
-8240948.7491,530818.7839,A,"gerencia@gimnasiolaspalmas.edu.co - gimnasiopalmas@gmail.com;rectoria@gimnasiolaspalmas.edu.co",www.gimnasiolaspalmas.edu.co,2021/12/31,GIMNASIO LAS PALMAS,328.84615380000,25,311001098701.00000000000,68,64,64,63,78,1,1,5,01,15,4,0,2,22,2,0,0,2,10,14,0,0,8,18,0,1,23,2,1,2,19,4,0.00000000000,0.07692307700,0.84615384600,0.07692307700,0.00000000000,0.07692307700,0.38461538500,0.00000000000,0.53846153800,0.00000000000,0.00000000000,0.30769230800,0.69230769200,0.00000000000,0.03846153800,0.88461538500,0.07692307700,0.03846153800,0.07692307700,0.73076923100,0.15384615400,1
-8240748.9251,523143.414099999,A,rectoria@gimnasiovolta.edu.co -- s-academica@gimnasiovolta.edu.co - admeducativa@gimnasiovolta.edu.co,www.gimnasiovolta.edu.co,2021/12/31,GIMNASIO ALESSANDRO VOLTA,353.84615380000,17,311001107289.00000000000,71,74,69,67,77,1,3,5,01,5,4,0,0,12,5,0,0,0,11,6,0,0,2,15,0,0,5,12,0,0,10,7,0.00000000000,0.00000000000,0.70588235300,0.29411764700,0.00000000000,0.00000000000,0.64705882400,0.00000000000,0.35294117600,0.00000000000,0.00000000000,0.11764705900,0.88235294100,0.00000000000,0.00000000000,0.29411764700,0.70588235300,0.00000000000,0.00000000000,0.58823529400,0.41176470600,1
-8243350.1822,524866.908,A,"contacto@colegioretos.edu.co - academica@colegioretos.edu.co;subacademica@colegioretos.edu.co",www.colegioretos.edu.co,2021/12/31,COLEGIO RETOS,310.00000000000,30,311001107599.00000000000,63,64,58,60,71,1,2,5,01,15,4,0,1,4,0,0,0,1,2,2,0,0,2,3,0,0,5,0,0,1,4,0,0.00000000000,0.20000000000,0.80000000000,0.00000000000,0.00000000000,0.20000000000,0.40000000000,0.00000000000,0.40000000000,0.00000000000,0.00000000000,0.40000000000,0.60000000000,0.00000000000,0.00000000000,1.00000000000,0.00000000000,0.00000000000,0.20000000000,0.80000000000,0.00000000000,2
-8242616.1715,522738.316300001,A,info@tandem.edu.co,www.tandem.edu.co,2021/12/31,TANDEM,304.61538460000,19,311001109460.00000000000,61,61,59,57,78,1,2,5,01,15,4,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0.00000000000,0.00000000000,1.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,1.00000000000,0.00000000000,0.00000000000,0.00000000000,1.00000000000,0.00000000000,0.00000000000,1.00000000000,0.00000000000,0.00000000000,0.00000000000,1.00000000000,0.00000000000,1
-8239832.8481,520901.94,A,coordinacion@colegiomonterrosales.co -- direccion@colegiomonterrosales.co -- contacto@colegiomonterrosales.co -- gerencia@colegiomonterrosales.co  --  gerencia@colegiomonterrosales.edu.co,www.colegiomonterrosales.edu.co,2021/12/31,COLEGIO MONTERROSALES - CICLOS,276.53846150000,32,311001109664.00000000000,60,54,52,52,65,1,5,5,01,15,4,2,7,8,1,1,0,5,11,1,0,1,13,4,1,6,10,1,2,8,5,3,0.11111111100,0.38888888900,0.44444444400,0.05555555600,0.00000000000,0.27777777800,0.61111111100,0.05555555600,0.05555555600,0.00000000000,0.05555555600,0.72222222200,0.22222222200,0.05555555600,0.33333333300,0.55555555600,0.05555555600,0.11111111100,0.44444444400,0.27777777800,0.16666666700,2
-8242455.5954,527618.691799998,A,instituto@elroble.edu.co,www.elroble.edu.co,2021/12/31,INSTITUTO EL ROBLE                                                                                                     ,263.07692310000,9,311001110581.00000000000,56,51,49,50,66,1,5,5,01,16,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1.00000000000,0.00000000000,0.00000000000,0.00000000000,1.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,1.00000000000,0.00000000000,0.00000000000,0.00000000000,1.00000000000,0.00000000000,0.00000000000,1.00000000000,0.00000000000,0.00000000000,4
-8241794.9966,530714.006200001,A,alfredmarshall.edu@gmail.com,,2021/12/31,COLEGIO ALFRED MARSHALL,234.61538460000,31,311001800499.00000000000,51,47,45,45,46,1,2,5,01,15,4,1,5,0,0,2,2,1,1,0,0,1,4,1,0,4,2,0,2,3,1,0,0.16666666700,0.83333333300,0.00000000000,0.00000000000,0.33333333300,0.16666666700,0.16666666700,0.33333333300,0.00000000000,0.00000000000,0.16666666700,0.66666666700,0.16666666700,0.00000000000,0.66666666700,0.33333333300,0.00000000000,0.33333333300,0.50000000000,0.16666666700,0.00000000000,4
-8242151.2111,525816.951200001,A,info@colegiohape.edu.co,,2021/12/31,"COLEGIO HAPE ""HABILIDADES DEL PENSAMIENTO""",295.76923080000,10,311001800588.00000000000,63,58,58,55,67,1,1,5,01,15,4,1,4,4,1,1,1,3,2,3,0,1,5,4,0,2,7,1,1,2,7,0,0.10000000000,0.40000000000,0.40000000000,0.10000000000,0.10000000000,0.30000000000,0.20000000000,0.10000000000,0.30000000000,0.00000000000,0.10000000000,0.50000000000,0.40000000000,0.00000000000,0.20000000000,0.70000000000,0.10000000000,0.10000000000,0.20000000000,0.70000000000,0.00000000000,2
-8241362.8042,531151.162300002,A,vice.csbt@hotmail.com -- tibati.secretaria@hotmail.com - sociedadycultura.csbt@gmail.com  --  s.academica@csbt.edu.co,www.csbt.edu.co  --  www.sanbenitodetibati.edu.co,2021/12/31,COLEGIO SAN BENITO DE TIBATI,338.46153850000,64,311769002214.00000000000,68,70,66,66,70,1,1,5,01,8,4,0,4,49,11,0,2,22,32,8,0,0,19,45,0,0,36,28,1,4,44,15,0.00000000000,0.06250000000,0.76562500000,0.17187500000,0.03125000000,0.34375000000,0.50000000000,0.00000000000,0.12500000000,0.00000000000,0.00000000000,0.29687500000,0.70312500000,0.00000000000,0.00000000000,0.56250000000,0.43750000000,0.01562500000,0.06250000000,0.68750000000,0.23437500000,1
-8240625.6432,523092.435199998,A,info@loscerros.edu.co - luisalbertoquintero@loscerros.edu.co - diegopenaloza@loscerros.edu.co,www.loscerros.edu.co,2021/12/31,GIMNASIO DE LOS CERROS,356.15384620000,45,311848000286.00000000000,70,75,68,68,83,1,3,3,01,5,4,0,3,26,16,0,0,3,8,34,0,1,12,32,0,0,16,29,1,5,17,22,0.00000000000,0.06666666700,0.57777777800,0.35555555600,0.00000000000,0.06666666700,0.17777777800,0.00000000000,0.75555555600,0.00000000000,0.02222222200,0.26666666700,0.71111111100,0.00000000000,0.00000000000,0.35555555600,0.64444444400,0.02222222200,0.11111111100,0.37777777800,0.48888888900,1
